,EventTime,Origin,Destination
82,1999.999986,North,Midwest
83,1993.108936,Rio_de_Janeiro,North
84,1996.999986,North,Southeast
85,1996.017296,North,SouthAmerica
86,1999.999986,SouthAmerica,North
87,2000.999986,Rio_de_Janeiro,Midwest
88,1996.999996,Rio_de_Janeiro,Northeast
89,1999.069266,Rio_de_Janeiro,Northeast
90,2001.999996,Northeast,Midwest
91,2000.999996,Rio_de_Janeiro,South
92,1996.999996,Rio_de_Janeiro,Southeast
93,1998.6830360000001,Rio_de_Janeiro,North
94,2000.999996,Rio_de_Janeiro,Northeast
95,1999.999996,Rio_de_Janeiro,Southeast
96,1996.614826,Rio_de_Janeiro,Southeast
97,1998.814826,Rio_de_Janeiro,Midwest
98,1999.999986,Midwest,SouthAmerica
148,2004.488196,SouthAmerica,North
149,2006.000016,North,SouthAmerica
151,2007.000016,North,SouthAmerica
152,2006.000016,North,SouthAmerica
153,2013.696696,North,Northeast
154,2019.2685060000001,Northeast,Midwest
155,2022.227406,Northeast,Southeast
156,2011.000016,North,SouthAmerica
157,2016.136626,North,Southeast
158,2008.000006,North,SouthAmerica
159,2011.541666,North,Midwest
160,2015.965266,North,Southeast
161,2011.333986,North,Southeast
162,2014.000006,Southeast,Northeast
163,2016.092896,Southeast,SouthAmerica
164,2014.571676,North,Northeast
165,2021.263026,Northeast,Southeast
166,2021.5912660000001,Northeast,Rio_de_Janeiro
168,2021.230116,SouthAmerica,Southeast
169,2022.286416,SouthAmerica,Rio_de_Janeiro
183,2021.709586,North,SouthAmerica
184,2022.246576,North,Southeast
185,2021.660276,North,SouthAmerica
186,2018.952416,North,SouthAmerica
187,2022.002976,SouthAmerica,North
189,2023.106856,Midwest,North
190,2019.455356,Midwest,Southeast
191,2022.934256,Southeast,Northeast
192,2023.123296,Midwest,Southeast
193,2022.353436,Midwest,SouthAmerica
194,2023.147956,Midwest,South
195,2023.032876,Midwest,Southeast
196,2023.180826,Midwest,North
197,2023.194526,Midwest,Southeast
198,2023.098636,Midwest,North
199,2020.339846,Midwest,Southeast
200,2021.068356,Southeast,SouthAmerica
201,2023.178086,Midwest,Southeast
202,2022.4420460000001,Midwest,Southeast
203,2023.175346,Southeast,South
204,2023.391796,Midwest,Northeast
205,2023.200016,Midwest,Southeast
222,2007.481616,SouthAmerica,Southeast
223,2008.332146,SouthAmerica,Rio_de_Janeiro
224,2009.999976,Rio_de_Janeiro,Northeast
225,2009.999976,Rio_de_Janeiro,Northeast
226,2009.999986,SouthAmerica,Midwest
227,2009.999986,SouthAmerica,Rio_de_Janeiro
228,2006.257306,SouthAmerica,Northeast
229,2023.197246,Northeast,Rio_de_Janeiro
230,2011.703856,Northeast,Midwest
231,2014.435396,Midwest,SouthAmerica
232,2023.350686,Northeast,Southeast
233,2023.3150560000001,Northeast,Southeast
234,2023.306846,Northeast,Southeast
235,2023.399996,Northeast,Midwest
236,2018.666326,Northeast,Southeast
237,2023.375336,Southeast,Northeast
238,2023.3479360000001,Southeast,Midwest
239,2021.808006,Southeast,Northeast
240,2019.809416,Southeast,Northeast
241,2023.104106,Northeast,North
242,2021.941406,Northeast,Southeast
243,2023.186296,Northeast,Midwest
244,2008.730486,Northeast,Rio_de_Janeiro
245,2009.3328860000001,Rio_de_Janeiro,Southeast
246,2015.375366,Southeast,Rio_de_Janeiro
247,2013.999976,Southeast,Rio_de_Janeiro
248,2016.0955960000001,Southeast,SouthAmerica
249,2015.072336,Southeast,SouthAmerica
250,2013.042796,Rio_de_Janeiro,SouthAmerica
251,2018.402726,Northeast,Southeast
252,2013.972226,Northeast,Rio_de_Janeiro
253,2016.163916,Rio_de_Janeiro,Asia
254,2015.999986,Rio_de_Janeiro,Midwest
255,2019.2109460000001,Midwest,Northeast
256,2022.2766960000001,Northeast,Southeast
257,2012.532136,Northeast,Southeast
258,2017.634646,Southeast,Northeast
259,2022.246556,Northeast,Southeast
260,2016.841126,Southeast,Midwest
261,2019.320536,Midwest,Northeast
262,2019.2383360000001,Midwest,Southeast
263,2019.460246,Southeast,Northeast
264,2016.117496,Southeast,Northeast
